Skill,Description
Environmental Engineering,Hiya l-tari9a bash t7mi l-bi2a w t5alli l-5idma tkoun nadhifa w ma t5arrebsh b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-7imaya. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Energy Management,Hiya l-fen ta3 tnadhem l-7ajat zay l-electricite w t5alli l-5idma tji b-a9al soum b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-energie. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Sustainability,Hiya l-tari9a bash t5alli l-5idma ttzid w ma t5arrebsh l-bi2a b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-sustainability. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Green Technology,Hiya l-fen ta3 tsta3mel l-7ajat lli t7mi l-bi2a w t5alli l-5idma nadhifa b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-green tech. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Renewable Energy,Hiya l-tari9a bash tsta3mel l-7ajat zay l-chams w l-ria7 bash t5alli l-5idma nadhifa b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-energie. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Civil Engineering,Hiya l-fen ta3 t5ammem fi l-7ajat zay l-jisr w l-batiments b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-construction. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Structural Engineering,Hiya l-tari9a bash t5ammem fi l-7ajat lli y5alliw l-batiments ykounou 9wiyin b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-structure. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Geotechnical Engineering,Hiya l-fen ta3 tchouf l-ardh w t3arf kifach t5ammem 3liha b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-geotechnique. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Transportation Engineering,Hiya l-tari9a bash t5ammem fi l-7ajat zay l-toro9 w l-mtro b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-transport. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Urban Planning,Hiya l-fen ta3 t5ammem fi l-mdina w t5alli l-7ajat ykounou mnadhmin b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-urbanisme. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Architecture,Hiya l-fen ta3 t5ammem fi l-batiments w t5allihom yabdwou zinin w 9wiyin b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-architecture. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Interior Design,Hiya l-tari9a bash t5ammem fi l-7ajat lli fi dakhla l-batiments w t5allihom zinin b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-design. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Landscape Architecture,Hiya l-fen ta3 t5ammem fi l-7ajat lli barra l-batiments zay l-jardins b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-landscape. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Construction Management,Hiya l-tari9a bash tnadhem l-7ajat fi l-construction w t5alli l-projet yemchi sari3 b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-construction. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Site Supervision,Hiya l-fen ta3 tchouf l-5idma fi l-chantier w t2akked mel kol chay yemchi nadhif b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-supervision. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Cost Engineering,Hiya l-tari9a bash tnadhem l-flous fi l-projets w t5alli l-5idma tji b-a9al soum b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-budget. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Quantity Surveying,Hiya l-fen ta3 t7awel t3arf l-7ajat lli t7otthom l-projet w l-flous ta3hom b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-budget. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Building Information Modeling,Hiya l-tari9a bash t3mel l-7ajat fi l-construction fi 3D w t5alli l-koll nadhif b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-BIM. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Facilities Management,Hiya l-fen ta3 tnadhem l-7ajat fi l-batiments w t5allihom y5admou b-sahla b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-facilities. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Property Management,Hiya l-tari9a bash tnadhem l-7ajat fi l-batiments w t5allihom ykounou moujoudin b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-property. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Real Estate Development,Hiya l-fen ta3 t3mel l-7ajat fi l-batiments w tbi3hom b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-real estate. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Leasing,Hiya l-tari9a bash t5alli l-nas ykriw l-7ajat zay l-batiments w tnadhem l-3o9oud b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-leasing. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Appraisal,Hiya l-fen ta3 t3arf l-soum ta3 l-7ajat zay l-batiments w t5ammem fi soumhom b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-appraisal. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Market Analysis,Hiya l-tari9a bash tchouf l-su9 w t3arf chnouwa l-nas y7ebbou w yshriwh b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-analyse. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Feasibility Studies,Hiya l-fen ta3 tchouf ken l-projet ynajjem y5dem wla la b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-analyse. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Investment Management,Hiya l-tari9a bash tnadhem l-flous lli t7otthom fi l-projets w t5allihom ytzidou b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-investissement. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Wealth Management,Hiya l-fen ta3 tnadhem l-flous ta3 l-nas w t5allihom ytzidou b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-investissement. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Financial Planning,Hiya l-tari9a bash t7ot khattat l-flous bash l-entreprise wla l-nas ynajmou y5admou b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-planning. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Retirement Planning,Hiya l-fen ta3 t7ot khattat l-flous bash l-nas ynajmou y5admou ki ykounou kbar b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-retirement. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Estate Planning,Hiya l-tari9a bash tnadhem l-7ajat ta3 l-flous w l-milkiya ki l-nas ykounou kbar b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat l-estate. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Tax Planning,Hiya l-fen ta3 tnadhem l-flous lli t5alleshom l-dawla b-tari9a mnadhma w nadhifa bash t9allesh l-soum kol yom. Tnajem t3arf l-9anoun w t7ot khattat l-tax. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Insurance Planning,Hiya l-tari9a bash t7ot khattat l-assurance bash t7mi l-nas w l-7ajat b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat l-assurance. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Risk Analysis,Hiya l-fen ta3 tchouf l-7ajat lli ynajmou y5asrou w t7ot khattat bash t7mi l-5idma b-tari9a mnadhma w nadhifa. Tnajem t3arf l-menaces w tla9i l-7aloul l-mou7a99a9. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Portfolio Analysis,Hiya l-tari9a bash tchouf l-7ajat lli t7ot fiha l-flous w t3arf ken ttzid wla la b-tari9a mnadhma. Tnajem t3arf l-7ajat w t7ot khattat l-analyse. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
